Program,Organization,Description,Status,Environmental_Themes,Services_&_Resources,Title_I_Schools_&_Low_Socioeconomic_Background_Focus,Title_I_School_Participants,Rural_Communities_Focus,Engaging_Rural_Communities,Adaptive_to_Local_Context,Other_Languages,COVID-19_Adaptations,Program_Locations,Program_Times,Groups_Served,Impact_Evaluation,Student_Engagement_Frequency,Teacher/Administrator_Engagement_Frequency,Academic_Standards_Alignment,Academic_Standards,Participant_Tracking,Participants_Served,Students_Served,Schools_Served,Teachers/Administrators_Served,Regions_Served,Timestamp
Interpretive Tours,UT - Marine Science Institution,"Guided discovery and exploration walks through living classroom areas- estuary, dunes and an animal rehabilitation area. Students engage in hands-on activities and collaborative dialog as they investigate characteristics and adaptations of local flora and fauna. ","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM",Field Trips,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",,Yes,,Group size and interactions are modified to ensure safety and educational merit are  maintained.,"Off campus, Virtual","During School Day, After School &/or Evenings, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Twice a year,Yes (please list them below),TEKS,Yes,0,0,8,15,All Regions,44103.37767
Jonesville Pathway to Science Education,Dallas Arboretum ,"We offer outreach lessons, a field trip lesson and a family visit for 3-5th grade students in the Bryan Adams feeder pattern and Mt. Auburn Elementary, each focused on selected TEKS.",Available and active in Texas,"Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, STEM, Waste, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Grant Funding, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",76-100%,No,,Yes,Spanish/ESL instruction and Spanish student documents,Gap year - adding additional lessons during this pause,"On School Campus, Off campus",During School Day,Elementary School <K-5>,"Pre/Post-Program Survey, External Evaluation Partner",Once a month,Once a month,Yes (please list them below),TEKS,Yes,2613,2613,10,,Region 10 – Richardson,44090.38904
Junior Master Gardener: RGVegetable Growers Chapter,Edinburg Scenic Wetlands and World Birding Center,"This program, designed by Texas A&M, teaches children ages 5 and older about why growing their own food can impact the world on a macro scale and their nutritional needs on a micro scale. As of fall 2020, the EWBC is doing a series of live Zoom classes on these lessons accompanied with building a small raised garden bed. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, STEM, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",N/A,Yes,,"The implementation of the program was intended to be done on-site at the community garden. However, COVID did not allow for a group of a certain size to be at our facility all at once, so changes were made to include the classes online with the materials for building a small raised garden bed to-be picked up by registrants. ",Virtual,After School &/or Evenings,"Elementary School <K-5>, Community/Family","Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Not applicable,Yes (please list them below),TEKS,Yes,24,24,0,0,Region 1 – Edinburg,44103.54601
K-12 Educational Field Trips,Matagorda Bay Nature Park [LCRA],"Outdoor K-12 educational field trip opportunities that showcase the Matagorda animal habitats, ecosystems and teach students about water and land conservation/stewardship.",Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, Waste, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,"No, but it is available to rural communities","For many students of our rural communities, taking a field trip to Matagorda is their only opportunity to visit the beach. Schools are individually reached out to by email and in person to present the activities available and we make sure schools understand we can work with their budget. ",Yes,,"Yes. We can still take classes at the park, but on a much smaller scale. Students are split into appropriate group sizes and we stay outside for the entire program. Masks and social distancing from staff are required.",Off campus,"During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family",Post-Program Survey Only,Multiple times a month,Not applicable,Yes (please list them below),TEKS,Yes,1374,1203,20,171,"Region 3 – Victoria, Region 4 – Houston, Region 13 – Austin",44103.58457
K-12 Field Trips,Oso Bay Wetlands Preserve,We offer TEKS aligned half day trips at the Oso Bay Wetlands Preserve.,"Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, Water","Directly Teaching Students, Field Trips",We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",,Yes,,Currently not booking trips larger than 10 students due to COVID,Off campus,During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>",Post-Program Survey Only,Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,Yes,148,148,5,15,Region 2 – Corpus Christi,44097.33444
Kritters 4 Kids ,Wildlife in Focus,Natural Science and Biology program that brings the beauty of wildlife and to them. It goes along the TEKS guidelines. ,Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",Depends on the location and individual use of the School.  Rural  communities will use it to have students explor their back yard s ,Yes,,Our Program may be done online.  ,"On School Campus, Off campus","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies), Rubrics for Student Projects/Presentations",Varies,Varies,Yes (please list them below),TEKS,No (skip the next question),30,0,30,0,"Region 1 – Edinburg, Region 2 – Corpus Christi, Region 3 – Victoria, Region 4 – Houston, Region 15 – San Angelo, Region 20 – San Antonio",44104.59678
L.A.N.D.S. Intensive Year-long Program,Texas Wildlife Association,"A year-long program that facilitates natural resource literacy within schools by creating tangible relationships between the outdoors through stewardship lessons, necropsies and a field investigation day at a local ranch.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,Was not offered due to COVID ,"On School Campus, Off campus",During School Day,"Middle School <6-8>, High School <9-12>","Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a month,Once a month,Yes (please list them below),TEKS,Yes,8810,8810,35,200,"Region 1 – Edinburg, Region 2 – Corpus Christi, Region 3 – Victoria, Region 4 – Houston, Region 6 – Huntsville, Region 10 – Richardson, Region 11 – Fort Worth, Region 12 – Waco, Region 13 – Austin, Region 20 – San Antonio",44110.54152
Leadership Development and Coaching,Green Schools National Network,"Recognizing both the importance and challenges of inspiring leadership, GSNN offers Executive Leadership development connected to strategic planning. Training and support is tied to a culture of equity and relevance where students and adults are empowered to build agency.",Available and active in Texas,"Conservation (Wildlife/Habitat), Energy, Green Building, Outdoor Learning, STEM, Waste, Water","Professional Development or Consulting for Administrators, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",51-75%,"No, but it is available to rural communities",,Yes,,,"On School Campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators","Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Daily,Daily,Yes (please list them below),,No (skip the next question),400,400,1,25,"Region 11 – Fort Worth, Region 12 – Waco, Region 13 – Austin, Region 20 – San Antonio",44106.58461
Learn Live,Moody Gardens,Moody Gardens Learn Live! programs are 60 -90 mins geared towards all learners and will include a guided lesson and tour. Over 50 different topics can be selected and tailored for ages.,Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Professional Development for Teachers","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",Custom tailor the programs towards grades & locations of participants,Yes,N/A,Adapted smaller in person group sizes or Virtual,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Post-Program Survey Only,Varies,Twice a year,Yes (please list them below),TEKS,No (skip the next question),100000,95000,2500,5000,"Region 3 – Victoria, Region 4 – Houston, Region 5 – Beaumont, Region 6 – Huntsville, Region 7 – Kilgore, Region 13 – Austin",44091.49894
Learning Gallery Programs,Dallas Arboretum ,Instructor-led gallery program in our outdoor museum focused on life and earth science.,Available and active in Texas,"Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Green Building, Outdoor Learning, STEM, Waste, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",,Yes,,Limited group size for fall 2020; virtual resources available for free online to connect with the children's adventure garden,Off campus,"During School Day, After School &/or Evenings, Summer","Elementary School <K-5>, Middle School <6-8>",Post-Program Survey Only,Daily,Daily,Yes (please list them below),TEKS,Yes,33337,29170,,,"Region 10 – Richardson, Region 11 – Fort Worth",44090.39351
Learning Lab,Center for Green Schools at USGBC,"Access Learning Lab for hands-on, standards-aligned curriculum and resources to help K-12 educators bring sustainability to life in their classrooms. ",Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Green Building, STEM, Transportation, Waste, Water, Workforce Development",Curriculum & Instructional Materials,We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",,Yes,Spanish,We have highlighted content that is suitable for distance learning and at-home learning,On School Campus,During School Day,Teachers/Administrators,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Not applicable,Daily,Yes (please list them below),"Common Core, NGSS, TEKS",No (skip the next question),,9300,280,310,All Regions,44098.56162
Learning Stations,Lady Bird Johnson Wildflower Center,"Learning Stations is our interactive field trip. There are five stations that illustrate a different hands-on activity/lesson including pollination, a habitat observation walk, geology, insect evidence, plant parts and seed ball creation. 
","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water",Field Trips,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",0-25%,No,,Yes,,We now offer this program in a virtual format as individual sessions and in small on-site group sessions.,"Off campus, Virtual",During School Day,Elementary School <K-5>,Post-Program Survey Only,Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,Yes,546,468,5,78,Region 13 – Austin,44096.56125
Learning Visits,Long Acres Ranch,We provide teacher-led station activities.,Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning","Classroom Volunteers/Presenters, Directly Teaching Students","No, this is not a focus in our outreach or programming.",26-50%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,During School Day,"Elementary School <K-5>, Middle School <6-8>",Do Not Evaluate,Not applicable,Not applicable,No (skip the next question),,Yes,5000,5000,20,,Region 4 – Houston,44146.48212
Lectures for adults,Cibolo Nature Center,Periodic lectures about environmental and nature based topics,Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition",Professional Development for Teachers,"No, this is not a focus in our outreach or programming.",0-25%,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,Weekends,"Teachers/Administrators, Community/Family",Do Not Evaluate,Once a year,Once a year,No (skip the next question),,No (skip the next question),,,,,"Region 13 – Austin, Region 20 – San Antonio",44146.39352
Liftoff Summer Professional Development Institute,UT Austin - Center for Space Research,"This week-long professional development training for teachers emphasizes science, technology, engineering, and mathematics experiences by incorporating a space science theme supported by NASA missions. Teacher participants are provided with curriculum, materials, and experiences through hands-on activities and field investigations.",Available and active in Texas,"Outdoor Learning, STEM","Curriculum & Instructional Materials, Professional Development for Teachers, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",26-50%,"No, but it is available to rural communities",,Yes,,,On-site,Summer,Teachers/Administrators,"Pre/Post-Program Survey, External Evaluation Partner, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a month,Multiple times a month,Yes (please list them below),,Yes,50,0,,50,All Regions,44119.63674
Liquid Science Program,Eddie V. Gray Wetlands Center,"The Liquid Science Program focuses on water sampling and analysis, watersheds and pollutant awareness, abiotic and biotic parameters affecting aquatic ecosystems, and the biology of blue crabs. Students identify live marine organisms using a dichotomous keys, perform basic water analysis on a local waterway, and build an aquatic food web.  ",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","No, this is not a focus in our outreach or programming.",Do not track,No,,Yes,Spanish with advance notice,,"On School Campus, Off campus, Virtual",During School Day,Middle School <6-8>,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Multiple times a week,Yes (please list them below),,Yes,1700,1700,10,65,"Region 4 – Houston, Region 5 – Beaumont",44104.67948
Little Hummingbird Society,Austin Parks Foundation,"A monthly giving program that also offers unique (and free) online resources for learning, as well as volunteer opportunities and park activation experiences for children.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning","Curriculum & Instructional Materials, Directly Teaching Students","No, this is not a focus in our outreach or programming.",Do not track,No,,Yes,"We offer some materials in English and Spanish (e.g., activity pages), and also do bilingual story time in the park (pre-COVID) and online","We have offered all of our print materials online to download for free, created instructional blog posts, videos, and interactive instagram engagements geared toward youth.","Off campus, Virtual","After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a month,Other [Quarterly],No (skip the next question),,No (skip the next question),,,,,Region 13 – Austin,44088.65685
Loose Parts Nature Play,City of Austin - Parks and Recreation,Loose Parts Nature Play is unstructured outdoor play with variety of natural materials. Rangers can facilitate this program at a vareity of community events.,"Available in Texas, but not currently active",Outdoor Learning,"Classroom Volunteers/Presenters, Directly Teaching Students, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,No,,Yes,,,"On School Campus, Off campus","During School Day, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, Teachers/Administrators",Post-Program Survey Only,Twice a year,Twice a year,No (skip the next question),,Yes,,500,5,10,Region 13 – Austin,44098.78541
Marine Science field trip on boat,"Texas Floating Classroom, Inc.",We provide 90-minute cruises into local bays aboard 30-passenger research vessel Archimedes where students use scientific equipment to measure attributes of water and help use trawl net to collect sea life to explore with touch tank and collect live plankton to view using microscopes.,Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water Other [Marine Science]","Classroom Volunteers/Presenters, Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,"No, but it is available to rural communities",,Yes,,adding virtual programming,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Pre/Post-Program Survey,Multiple times a week,Multiple times a month,Yes (please list them below),TEKS,Yes,5000,4500,100,500,"Region 1 – Edinburg, Region 2 – Corpus Christi, Region 3 – Victoria, Region 20 – San Antonio",44099.52509
Mayborn Museum Meet the Scientist,Baylor University - Center for Reservoir and Aquatic Systems Research,The Mayborn Museum at Baylor University hosts Meet the Scientist events as part of Portal to the Public.  CRASR conducts one event monthly at the museum focused on citizen science water quality.,Available and active in Texas,Water,Other [Family Programs],"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,"Meet the Scientist events went strictly on-line for several months but with the re-opening of the Museum, some (including ours) are now returning to in person events, with modifications for safety","Off campus, Virtual",Weekends,Community/Family,External Evaluation Partner,Once a month,Not applicable,No (skip the next question),,No (skip the next question),,,0,0,All Regions,44090.40927
McKinney Roughs Summer Camp; Day and Overnight School Field Trips,McKinney Roughs Nature Park [LCRA],"Summer day camp: 8 wks in summer, ages 5-12 in 3 separate age-groups. Teen camp occurs 2-3 weeks in summer. Each week has a different natural science theme and activities combine environmental education and outdoor recreation. Day and overnight natural science education and recreation field trips are offered year-round to schools, yout groups.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water",Directly Teaching Students,We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities","We are one of the primary green spaces located in a low income, rural community and engage with the public through local events.",Yes,,"We cancelled summer camp in 2020 in response to the pandemic and offered small group family programming instead. We plan to open summer camp in 2021 with a significantly reduced capacity. We have not yet opened for groups larger than five, so this currently excludes school.",at our nature park,"During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>",Post-Program Survey Only,Varies,Varies,Yes (please list them below),TEKS,Yes,4067,3649,37,400,"Region 3 – Victoria, Region 4 – Houston, Region 6 – Huntsville, Region 13 – Austin, Region 15 – San Angelo",44106.70386
Mobile Experience Center,USGBC Texas Chapter,"The Mobile Experience Center is a trailer that goes out to the community and provides direct education on sustainable living and green building practices, energy efficiency, water conservation, safe and environmentally friendly household chemicals, and how to chose and take care of heating, ventilation and air conditioning, rain barrels, and more. ","Available in Texas, but not currently active","Air Quality, Energy, Green Building, Waste, Water","Classroom Volunteers/Presenters, Directly Teaching Students",We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",,Yes,Depending on volunteer availability.,,"On School Campus, Off campus","During School Day, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Other [Upon request],Other [Upon request],No (skip the next question),,No (skip the next question),,,,,All Regions,44118.57667
Mobile River Program,Colorado River Alliance,"Our Water-Science-Center-on-Wheels that brings hands-on, STEM-based aquatic science teachings coupled with water stewardship lessons directly to middle schools up and down the Texas Colorado River Basin.","Available in Texas, but not currently active","STEM, Water","Curriculum & Instructional Materials, Directly Teaching Students, Professional Development for Teachers","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",It is mobile and can go directly to schools in these areas.,Yes,Spanish,It is on hold currently.,On School Campus,During School Day,Middle School <6-8>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Multiple times a week,Yes (please list them below),TEKS,Yes,2036,2036,12,12,"Region 3 – Victoria, Region 13 – Austin, Region 15 – San Angelo",44106.93183
Monarch Heroes,National Wildlife Federation,"Monarch Heroes, is an NWF Eco-Schools program that engages students in monarch conservation through our STEM-based Monarch Mission curriculum, the creation of monarch-friendly habitat gardens on school campuses, participation in monarch-related citizen science efforts, and community education.  ",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM","Curriculum & Instructional Materials, Grant Funding, Professional Development for Teachers, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",51-75%,No,,Yes,The curriculum is available in Spanish,All professional development and teacher support is being done virtually. We have created a created a series of videos to help students understand biodiversity and how to conduct a biodiversity audit. We also have created an at home biodiversity audit.,"On School Campus, Virtual","During School Day, After School &/or Evenings, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators","Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Multiple times a week,Yes (please list them below),TEKS,Yes,14552,14280,68,272,"Region 1 – Edinburg, Region 4 – Houston, Region 11 – Fort Worth, Region 13 – Austin, Region 20 – San Antonio",44103.49934
Monthly Programs,Earth Native Wilderness School,"Through carefully crafted activities, awesome nature stories, and grand adventures kids develop a deep love for the outdoors that will last a life time. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, wilderness/nature ""survival"" skills and awareness",Directly Teaching Students,We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",We serve the greater Austin area and have participants who live in rural communities.,Yes,,"Yes. Small, stable groups and modification to how we deliver curriculum. See expanded answer in Weekly Nature School entry.",Off campus,Weekends,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a month,Not applicable,No (skip the next question),,Yes,100,100,0,0,Region 13 – Austin,44091.48266
Monthly Workdays,Friends of Don Greene,Learning-through-Community Service occurs each third Saturday of the month from 9am-Noon for adults and teens.  Participants learn about urban ecosystems and fundamental attributes of nature while working in nature at the Don Greene Nature Park.,Available and active in Texas,Outdoor Learning,"Directly Teaching Students, Other [Family Programs]","No, this is not a focus in our outreach or programming.",Do not track,No,,Yes,Spanish,"Groups limited to 8, by reservation only, info@friendsofdongreene.org","At the Don Greene Nature Park, 6009 Cypress Street, Houston 77074",Weekends,Community/Family,Do Not Evaluate,Once a month,Varies,No (skip the next question),,Yes,,87,19,6,Region 4 – Houston,44106.81025
Moody Permanent Endowment Fund Habitat Restoration Adventure and STEAM Powered Program,Artist Boat,These programs serve 4th and 7th grade students on Galveston Island and are essential to developing an environmentally and arts literate community on Galveston Island that is engaged in actions to improve the environment quality of our island and decrease the impacts of humans on our island environment. ,Available and active in Texas,"Conservation (Wildlife/Habitat), Green Building, Outdoor Learning, STEM, Waste, Water","Classroom Volunteers/Presenters, Directly Teaching Students, Field Trips, Grant Funding","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,No,,Yes,,Our workshops were recorded so that we could supply videos to the classrooms instead of meeting in person. After COVID-19 we also opened up our free kayak adventures and habitat restoration adventures to family groups of the region's students. ,"On School Campus, Off campus, Virtual",During School Day,"Elementary School <K-5>, Middle School <6-8>",Pre/Post-Program Survey,Varies,Varies,Yes (please list them below),TEKS,Yes,,1466,12,37,Region 4 – Houston,44105.35689
Nature + Play,Dallas Public Library,Picture books with a nature theme are read. Participants do an activity associated with the book. Special nature guests make appearences.,Available and active in Texas,"Conservation (Wildlife/Habitat), STEM, Waste, Water",Directly Teaching Students,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,No,,Yes,,This program was created as a direct result of COVID-19,Virtual,"During School Day, Summer, Weekends",Elementary School <K-5>,Do Not Evaluate,Once a month,Not applicable,No (skip the next question),,No (skip the next question),7,,0,0,Region 10 – Richardson,44092.60141
Nature Camp,Cibolo Nature Center,Outdoor daytime summer camp,Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, STEM, Water",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",0-25%,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,Summer,Elementary School <K-5>,Post-Program Survey Only,Once a year,Not applicable,No (skip the next question),,No (skip the next question),,,,,"Region 13 – Austin, Region 20 – San Antonio",44146.39277
Nature Classes,Pines and Prairies Land Trust,"Pines and Prairies Land Trust hosts free nature lessons for school aged children at the Lost Pines Nature Trails, adjacent to the Colorado River Refuge. Dedicated and talented teachers lead the classes, offered every spring and fall. Classes usually start with a group lesson and end with a hike or discovery activity.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Water","Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","No, this is not a focus in our outreach or programming.",Do not track,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,Off campus,During School Day,Elementary School <K-5>,Do Not Evaluate,Once a month,Once a month,No (skip the next question),,Yes,62,60,,2,Region 13 – Austin,44146.48424
Nature Day,Sea Center Texas [TPWD],"Nature Day, hosted every spring, is a family-oriented event that showcases environmental organizations from the greater Houston area. Our goal is to introduce the public to the many facets of conservation, restoration, and stewardship. If you are interested in becoming a Nature Day exhibitor, get in touch with us through email.","Available in Texas, but not currently active","Air Quality, Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Waste, Water",Supporting Networks (Online/In-Person),"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,No,,,Saturday event at Sea Center Texas,Weekends,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Not applicable,No (skip the next question),,Yes,,,,,Region 4 – Houston,44119.66419
Nature Discovery Program,The Frontera Land Alliance,"The Nature Discovery Program was created to promote environmental education and land conservation in our region targeting citizens from El Paso and its surroundings. The program includes presentations at libraries, volunteer opportunities, attending fairs, lectures at high schools, and outdoor bilingual programs.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",0-25%,No,Never asked question,Never asked question,Never asked question,Never asked question,"On School Campus, Off campus","During School Day, Summer, Weekends","Middle School <6-8>, High School <9-12>",Pre/Post-Program Survey,Once a week,Multiple times a week,No (skip the next question),,Yes,,,3,,Region 19 – El Paso,44146.4528
Nature Immersion Travel Program,Families in Nature,"Our Nature Immersion Travel Program takes families or students out into wild nature to explore and participate in experiential science. We offer trips all over the globe in partnership with locally-run organizations. Activities teach children and parents about ecology through hands-on experiences, while they spend quality family time together. Activities include nature walks, field science experiences, service projects, camp-outs, lessons in outdoor skills, S.T.E.A.M. aligned lessons and more. ",Available and active in Texas,"Outdoor Learning, STEM","Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,Weekends,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Not applicable,No (skip the next question),,Yes,,,,,Region 13 – Austin,44146.68474
Nature of Art Summer Camp,San Antonio River Foundation,"Annual summer camp sponsored by the San Antonio River Foundation and facilitated by the Southwest School of Art explores the integration of science and art. Campers examine the natural world through an artistic lens, learning about the river ecosystem and creating inspired artwork. Campers use a variety of media such as clay, fabric, paint and sculptural materials to fashion individual and collaborative pieces of art. Each week, a different community science ambassadors visit the camp. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Green Building, Outdoor Learning, Waste, Water",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",Do not track,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,Summer,"Elementary School <K-5>, Middle School <6-8>","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Not applicable,No (skip the next question),,Yes,52,52,,,Region 20 – San Antonio,44146.48886
Nature of Learning,Mitchell Lake Audubon Center,"Students grades 3-5 participate in a 2 mile, 4 hour hike with hands-on activities and learning, including water quality testing, macroinvertebrate study, soil temp, etc.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, Water",Field Trips,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",,Yes,,We are developing and offering an online version of this program. ,"On School Campus, Off campus, Virtual",During School Day,Elementary School <K-5>,Post-Program Survey Only,Multiple times a week,Multiple times a week,Yes (please list them below),TEKS,Yes,1500,1400,15,100,Region 20 – San Antonio,44104.50781
